"Y","D","Z","X1","X2","X3"
3,1,1,4.12242068394333,1,5
3,1,1,4.12242068394333,1,5
3,1,1,5.46497544410944,2,5
3,1,1,5.57541374260882,1,5
3,1,1,4.12242068394333,1,5
3,1,1,4.80479314933803,1,5
3,1,1,6.61752493583337,1,5
3,1,1,4.12242068394333,1,5
3,1,1,4.86221421050479,1,5
3,1,1,2.70179818277539,2,5
3,1,1,5.4912927874449,1,5
3,1,1,2.79398761616991,1,5
3,1,1,4.12242068394333,1,5
3,1,1,4.12242068394333,1,5
3,1,1,5.19124656402376,1,5
3,1,1,5.46497544410944,2,5
3,1,1,4.86221421050479,2,5
3,1,1,3.53378114273138,2,5
3,1,1,4.72518191754798,2,5
3,1,1,5.91463216209187,1,5
3,1,1,5.91463216209187,1,4
3,1,1,6.28849258231441,1,5
2,1,1,5.23607463072734,1,4
2,1,1,4.42246690736447,2,5
3,1,1,2.56281224705035,2,3
3,1,1,3.04012632176708,1,4
3,1,1,4.86221421050479,1,4
3,1,1,4.12242068394333,1,4
2,1,1,4.05497750177774,1,5
3,1,1,5.91463216209187,1,5
3,1,1,5.46497544410944,1,5
3,1,1,4.72518191754798,1,4
3,1,1,6.28849258231441,1,5
3,1,1,4.12242068394333,1,4
3,1,1,5.91463216209187,1,5
3,1,1,5.50768592307954,1,5
3,0,1,4.72518191754798,1,4
3,0,1,4.86221421050479,2,4
3,0,1,5.46497544410944,1,5
3,0,1,4.12242068394333,1,5
3,0,1,6.61752493583337,1,5
3,0,1,5.7940077976284,1,4
3,0,1,4.05497750177774,1,4
3,0,1,5.05925651233924,1,5
3,0,1,4.86221421050479,1,5
3,0,1,5.83883586433199,1,5
3,0,1,5.83883586433199,1,5
3,0,1,4.05497750177774,1,4
3,0,1,4.86221421050479,1,5
3,0,1,5.7940077976284,1,5
3,0,1,5.19124656402376,1,5
3,0,1,4.6853960921167,1,5
3,0,1,4.86221421050479,1,5
3,0,1,4.86221421050479,1,5
3,0,1,5.46497544410944,1,4
2,0,1,4.86221421050479,1,5
3,0,1,5.1257570246264,1,5
3,0,1,5.46497544410944,1,5
3,0,1,5.91463216209187,1,5
3,0,1,5.7940077976284,2,5
3,0,1,4.79672467110743,1,5
3,0,1,4.72518191754798,1,5
3,0,1,4.12242068394333,2,4
3,0,1,4.53106426925235,1,5
3,0,1,4.12242068394333,2,4
3,0,1,5.46497544410944,1,5
3,0,1,4.08263485851205,1,4
3,0,1,2.79398761616991,1,5
3,0,1,4.86221421050479,2,4
3,0,1,4.72518191754798,2,5
3,0,1,4.86221421050479,1,5
2,0,1,4.6853960921167,1,4
3,0,1,4.12242068394333,1,5
3,0,1,4.12242068394333,1,4
3,0,1,5.46497544410944,1,4
3,0,1,4.86221421050479,1,4
3,0,1,5.46497544410944,1,5
3,0,1,4.12242068394333,1,5
